Thread,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
thread_113.txt,0.025000000617987714,0.025001107268858735,0.0250000010871409,0.025001632649706462,0.025000011090595096,0.77498759187288102,0.025000001054070149,0.025000760667773032,0.025008693630796459,0.025000200060190245
thread_114.txt,0.51512683740331033,0.025002655134660431,0.025000001247758055,0.025000569368550864,0.025000001104521684,0.025004418182103777,0.025000001218565885,0.025000562659417233,0.28486472198536034,0.025000231695751524
thread_115.txt,0.07092653914539844,0.59788952539188744,0,0.079906158772459351,0,0.13821624809955635,0,0.098354684572781306,0,0
thread_116.txt,0,0.5564645112737242,0,0.36251899729170006,0,0,0,0.071555974397260941,0,0
thread_117.txt,0.2767473567725709,0.67618564187750652,0,0,0,0,0,0,0,0
thread_118.txt,0,0.41566216130190647,0,0.39426098069825727,0,0.076697191524390376,0,0,0.10370146097418224,0
thread_119.txt,0,0.80226875146278775,0,0.16809753089168919,0,0,0,0,0,0
thread_12.txt,0,0.32137739443778846,0,0,0,0,0,0,0.60588999995125625,0
thread_120.txt,0,0.14906348862376592,0,0.36160061210055344,0,0,0,0,0.44815751248945218,0
thread_121.txt,0.011111493207850811,0.011114090557514309,0.011111112967536078,0.26804976483479825,0.011111114777827769,0.39271013835715268,0.011111112960780772,0.26145554644889435,0.011114459226393016,0.011111166661251981
thread_122.txt,0.20544227852859923,0.33899359123194256,0,0.42756073639011521,0,0,0,0,0,0
thread_123.txt,0.19699814367531687,0.52379962004361091,0,0,0,0.25506259737238329,0,0,0,0
thread_124.txt,0.04025060826304494,0.39838607250501817,0,0.31463867836564097,0,0.24040839475353026,0,0,0,0
thread_125.txt,0.010000002305796247,0.23356101097060669,0.010000003974417929,0.010002205775150961,0.010000026032615093,0.33910096489307751,0.010000003962542369,0.010000781116898089,0.35733493152687373,0.010000069442021439
thread_126.txt,0,0,0,0,0,0.6106414496175957,0,0.075237816476272867,0.27036685720975057,0
thread_127.txt,0.34742967654540002,0.55408632799711333,0,0,0,0,0,0.069312055240193016,0,0
thread_128.txt,0,0.5681671256228088,0,0,0,0,0,0.10603256354351336,0.26215823763370605,0
thread_129.txt,0,0.62375992647841327,0,0.31961479837956924,0,0.0391226467823634,0,0,0,0
thread_13.txt,0,0.76929869483010971,0,0,0,0,0,0.082804505205512635,0.10414393009040293,0
thread_130.txt,0,0.44220385912002602,0,0.39561853975109601,0,0,0,0.14217461712851739,0,0
thread_131.txt,0,0.54022359013396537,0,0.13109157279885958,0,0.26308530952034981,0,0.050214422070496013,0,0
