Document,Topic_id,Weight
CVE-2012-3301,3,0.63316916268602985
CVE-2012-3301,8,0.044521793116582643
CVE-2012-2943,1,0.83686071780586713
CVE-2012-2943,3,0.12313562982713577
CVE-2012-2374,1,0.33054138546051037
CVE-2012-2374,3,0.63135780789410445
CVE-2012-2041,1,0.96538161880736417
CVE-2012-0310,1,0.96896283971561104
CVE-2011-4586,1,0.9689630945967479
CVE-2011-4545,1,0.42469981456959616
CVE-2011-4545,3,0.53719996929639924
CVE-2011-4512,1,0.97749760701096433
CVE-2011-4237,1,0.96785423070488019
CVE-2011-4203,1,0.97187286530459926
CVE-2011-3285,1,0.97272525678819433
CVE-2011-3186,1,0.41351550647502916
CVE-2011-3186,3,0.55169807188812248
CVE-2011-3000,3,0.80643422185883185
CVE-2011-3000,7,0.15546750601435197
CVE-2011-2732,1,0.95908644192795345
CVE-2011-1895,1,0.42254983204837326
CVE-2011-1895,3,0.55522570110553582
CVE-2011-1398,1,0.72696383666776632
CVE-2011-1398,7,0.25198184820787661
CVE-2011-0581,1,0.96399626691740592
CVE-2010-4572,1,0.96666378809359255
CVE-2010-4411,3,0.92413598051667512
CVE-2010-4411,7,0.046232378185105477
CVE-2010-4410,3,0.92399347308087931
CVE-2010-4410,7,0.053781679654315503
CVE-2010-3913,1,0.96249529987361804
CVE-2010-3172,1,0.96785269406121421
CVE-2010-3011,1,0.23602282369039884
CVE-2010-3011,3,0.73063812099971359
CVE-2010-2761,3,0.93638992661667375
CVE-2010-2761,7,0.038608175343264807
CVE-2010-0155,0,0.34698527273686491
CVE-2010-0155,1,0.6263451233483619
CVE-2009-4086,1,0.71368036248620548
CVE-2009-4086,3,0.25965089469830971
CVE-2009-2820,1,0.30452909274238615
CVE-2009-2820,8,0.67728635456634823
CVE-2009-1777,1,0.96086394752193427
CVE-2009-1591,1,0.8537464466032223
CVE-2009-1591,8,0.11767867698773336
CVE-2009-1357,3,0.91548377077126541
CVE-2009-1357,7,0.051180025924123247
CVE-2009-1149,1,0.23784621505080006
CVE-2009-1149,3,0.72881424127381533
CVE-2009-0868,3,0.90709849181024527
CVE-2009-0868,7,0.056534609333531743
CVE-2008-7257,1,0.97567334019077689
CVE-2008-6121,1,0.35759990572610323
CVE-2008-6121,3,0.60429925965252429
CVE-2008-5742,5,0.92292229361851263
CVE-2008-5742,7,0.047444900600296679
CVE-2008-5189,1,0.44449392692571993
CVE-2008-5189,3,0.52071958977572597
CVE-2008-4283,1,0.96896238702930504
CVE-2008-3906,1,0.96086518784796016
CVE-2008-2497,1,0.43371399687099937
CVE-2008-2497,3,0.52818629486927426
CVE-2008-0786,1,0.82884001361577209
CVE-2008-0786,3,0.13479291803790011
CVE-2008-0456,1,0.98043262506672235
CVE-2008-0202,1,0.96086466545570293
CVE-2007-5615,1,0.44727244519029746
CVE-2007-5615,3,0.51462674478085646
CVE-2007-5595,3,0.88550126890724212
CVE-2007-5595,7,0.0811628451259334
CVE-2007-4190,1,0.41741536276099211
CVE-2007-4190,3,0.56096083936439389
CVE-2007-4164,3,0.47814932196396959
CVE-2007-4164,8,0.50022448750956583
CVE-2007-2618,1,0.92694961584083679
CVE-2007-2618,8,0.048805813735067032
CVE-2007-2550,1,0.34532764085632611
CVE-2007-2550,3,0.62389814604201455
