Document,Topic_id,Weight
CVE-2010-4572,3,0.34115017052772417
CVE-2010-4572,18,0.58201382505874699
CVE-2010-4572,19,0.04535452255249451
CVE-2010-4411,9,0.041571899733288058
CVE-2010-4411,13,0.92509476644852684
CVE-2010-4410,9,0.92935627317081182
CVE-2010-4410,19,0.045643726546639084
CVE-2010-3913,13,0.96041666603597842
CVE-2010-3172,9,0.11352089864593266
CVE-2010-3172,18,0.80605129188383573
CVE-2010-3172,19,0.050070666138202026
CVE-2010-3011,3,0.74322189990123033
CVE-2010-3011,15,0.16849286182915241
CVE-2010-3011,19,0.052868570989860565
CVE-2010-2761,9,0.92737567040730162
CVE-2010-2761,19,0.044499329309607628
CVE-2010-0155,15,0.92719136944631464
CVE-2010-0155,19,0.042808630067690832
CVE-2009-4086,6,0.92167597977573057
